idproducto;idcentro;nombre;codigo;descripcion
74;3;COMPRESOR;5367DRTS58;Repuesto 
75;3;RADIADOR;ASDR456455;Repuesto 
76;3;ESCAPE;TYGD5679LL;Repuesto 
77;3;DISCO DE FRENOS;VGT5862DE;Repuesto 
78;3;HALOGENOS;ARTY0986450;Repuesto 
79;3;FILTRO DE AIRE;ADT157863;Repuesto 
80;3;TIJERETA;4587RADADD;Repuesto 
81;3;BUJIAS;85FDTG2345;Repuesto 
82;3;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
83;3;RETROVISOR;GDS0278DW;Repuesto 
84;3;AMORTIGUADORES;SDFCV44574;Repuesto 
85;3;BATERIAS DIENER;89JHTF654;Repuesto 
86;3;TURBINA;ASWD5478;Repuesto 
87;3;COMPRESOR;5367DRTS58;Repuesto 
88;3;RADIADOR;ASDR456455;Repuesto 
89;3;ESCAPE;TYGD5679LL;Repuesto 
90;3;DISCO DE FRENOS;VGT5862DE;Repuesto 
91;3;HALOGENOS;ARTY0986450;Repuesto 
92;3;FILTRO DE AIRE;ADT157863;Repuesto 
93;3;TIJERETA;4587RADADD;Repuesto 
94;3;BUJIAS;85FDTG2345;Repuesto 
95;3;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
96;3;RETROVISOR;GDS0278DW;Repuesto 
97;3;AMORTIGUADORES;SDFCV44574;Repuesto 
98;3;BATERIAS DIENER;89JHTF654;Repuesto 
99;3;TURBINA;ASWD5478;Repuesto 
100;3;COMPRESOR;5367DRTS58;Repuesto 
101;3;RADIADOR;ASDR456455;Repuesto 
102;3;ESCAPE;TYGD5679LL;Repuesto 
103;3;DISCO DE FRENOS;VGT5862DE;Repuesto 
104;3;HALOGENOS;ARTY0986450;Repuesto 
105;4;FILTRO DE AIRE;ADT157863;Repuesto 
106;4;TIJERETA;4587RADADD;Repuesto 
107;4;BUJIAS;85FDTG2345;Repuesto 
108;4;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
109;4;RETROVISOR;GDS0278DW;Repuesto 
110;4;AMORTIGUADORES;SDFCV44574;Repuesto 
111;4;BATERIAS DIENER;89JHTF654;Repuesto 
112;4;TURBINA;ASWD5478;Repuesto 
113;4;COMPRESOR;5367DRTS58;Repuesto 
114;4;RADIADOR;ASDR456455;Repuesto 
115;4;ESCAPE;TYGD5679LL;Repuesto 
116;4;DISCO DE FRENOS;VGT5862DE;Repuesto 
117;4;HALOGENOS;ARTY0986450;Repuesto 
118;4;FILTRO DE AIRE;ADT157863;Repuesto 
119;4;TIJERETA;4587RADADD;Repuesto 
120;4;BUJIAS;85FDTG2345;Repuesto 
121;4;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
122;4;RETROVISOR;GDS0278DW;Repuesto 
123;4;AMORTIGUADORES;SDFCV44574;Repuesto 
124;4;BATERIAS DIENER;89JHTF654;Repuesto 
125;4;TURBINA;ASWD5478;Repuesto 
126;4;COMPRESOR;5367DRTS58;Repuesto 
127;4;RADIADOR;ASDR456455;Repuesto 
128;4;ESCAPE;TYGD5679LL;Repuesto 
129;4;DISCO DE FRENOS;VGT5862DE;Repuesto 
130;4;HALOGENOS;ARTY0986450;Repuesto 
131;4;FILTRO DE AIRE;ADT157863;Repuesto 
132;4;TIJERETA;4587RADADD;Repuesto 
133;4;BUJIAS;85FDTG2345;Repuesto 
134;4;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
135;4;RETROVISOR;GDS0278DW;Repuesto 
136;4;AMORTIGUADORES;SDFCV44574;Repuesto 
137;4;BATERIAS DIENER;89JHTF654;Repuesto 
138;4;TURBINA;ASWD5478;Repuesto 
139;4;COMPRESOR;5367DRTS58;Repuesto 
140;4;RADIADOR;ASDR456455;Repuesto 
141;4;ESCAPE;TYGD5679LL;Repuesto 
142;4;DISCO DE FRENOS;VGT5862DE;Repuesto 
143;4;HALOGENOS;ARTY0986450;Repuesto 
144;5;FILTRO DE AIRE;ADT157863;Repuesto 
145;5;TIJERETA;4587RADADD;Repuesto 
146;5;BUJIAS;85FDTG2345;Repuesto 
147;5;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
148;5;RETROVISOR;GDS0278DW;Repuesto 
149;5;AMORTIGUADORES;SDFCV44574;Repuesto 
150;5;BATERIAS DIENER;89JHTF654;Repuesto 
151;5;TURBINA;ASWD5478;Repuesto 
152;5;COMPRESOR;5367DRTS58;Repuesto 
153;5;RADIADOR;ASDR456455;Repuesto 
154;5;ESCAPE;TYGD5679LL;Repuesto 
155;5;DISCO DE FRENOS;VGT5862DE;Repuesto 
156;5;HALOGENOS;ARTY0986450;Repuesto 
157;5;FILTRO DE AIRE;ADT157863;Repuesto 
158;5;TIJERETA;4587RADADD;Repuesto 
159;5;BUJIAS;85FDTG2345;Repuesto 
160;5;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
161;5;RETROVISOR;GDS0278DW;Repuesto 
162;5;AMORTIGUADORES;SDFCV44574;Repuesto 
163;5;BATERIAS DIENER;89JHTF654;Repuesto 
164;5;TURBINA;ASWD5478;Repuesto 
165;5;COMPRESOR;5367DRTS58;Repuesto 
166;5;RADIADOR;ASDR456455;Repuesto 
167;5;ESCAPE;TYGD5679LL;Repuesto 
168;5;DISCO DE FRENOS;VGT5862DE;Repuesto 
169;5;HALOGENOS;ARTY0986450;Repuesto 
170;5;FILTRO DE AIRE;ADT157863;Repuesto 
171;5;TIJERETA;4587RADADD;Repuesto 
172;5;BUJIAS;85FDTG2345;Repuesto 
173;5;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
174;5;RETROVISOR;GDS0278DW;Repuesto 
175;5;AMORTIGUADORES;SDFCV44574;Repuesto 
176;5;BATERIAS DIENER;89JHTF654;Repuesto 
177;5;TURBINA;ASWD5478;Repuesto 
178;5;COMPRESOR;5367DRTS58;Repuesto 
179;5;RADIADOR;ASDR456455;Repuesto 
180;5;ESCAPE;TYGD5679LL;Repuesto 
181;5;DISCO DE FRENOS;VGT5862DE;Repuesto 
182;5;HALOGENOS;ARTY0986450;Repuesto 
183;5;FILTRO DE AIRE;ADT157863;Repuesto 
184;5;TIJERETA;4587RADADD;Repuesto 
185;5;BUJIAS;85FDTG2345;Repuesto 
186;5;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
187;5;RETROVISOR;GDS0278DW;Repuesto 
188;5;AMORTIGUADORES;SDFCV44574;Repuesto 
189;5;BATERIAS DIENER;89JHTF654;Repuesto 
190;5;TURBINA;ASWD5478;Repuesto 
191;5;COMPRESOR;5367DRTS58;Repuesto 
192;5;RADIADOR;ASDR456455;Repuesto 
193;5;ESCAPE;TYGD5679LL;Repuesto 
194;5;DISCO DE FRENOS;VGT5862DE;Repuesto 
195;5;HALOGENOS;ARTY0986450;Repuesto 
196;5;FILTRO DE AIRE;ADT157863;Repuesto 
197;5;TIJERETA;4587RADADD;Repuesto 
198;5;BUJIAS;85FDTG2345;Repuesto 
199;5;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
200;5;RETROVISOR;GDS0278DW;Repuesto 
201;5;AMORTIGUADORES;SDFCV44574;Repuesto 
202;5;BATERIAS DIENER;89JHTF654;Repuesto 
203;5;TURBINA;ASWD5478;Repuesto 
204;5;COMPRESOR;5367DRTS58;Repuesto 
205;5;RADIADOR;ASDR456455;Repuesto 
206;5;ESCAPE;TYGD5679LL;Repuesto 
207;5;DISCO DE FRENOS;VGT5862DE;Repuesto 
208;5;HALOGENOS;ARTY0986450;Repuesto 
209;5;FILTRO DE AIRE;ADT157863;Repuesto 
210;5;TIJERETA;4587RADADD;Repuesto 
211;5;BUJIAS;85FDTG2345;Repuesto 
212;5;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
213;5;RETROVISOR;GDS0278DW;Repuesto 
214;5;AMORTIGUADORES;SDFCV44574;Repuesto 
215;5;BATERIAS DIENER;89JHTF654;Repuesto 
216;5;TURBINA;ASWD5478;Repuesto 
217;5;COMPRESOR;5367DRTS58;Repuesto 
218;5;RADIADOR;ASDR456455;Repuesto 
219;5;ESCAPE;TYGD5679LL;Repuesto 
220;5;DISCO DE FRENOS;VGT5862DE;Repuesto 
221;5;HALOGENOS;ARTY0986450;Repuesto 
222;5;FILTRO DE AIRE;ADT157863;Repuesto 
223;5;TIJERETA;4587RADADD;Repuesto 
224;5;BUJIAS;85FDTG2345;Repuesto 
225;5;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
226;5;RETROVISOR;GDS0278DW;Repuesto 
227;5;AMORTIGUADORES;SDFCV44574;Repuesto 
228;5;BATERIAS DIENER;89JHTF654;Repuesto 
229;5;TURBINA;ASWD5478;Repuesto 
230;5;COMPRESOR;5367DRTS58;Repuesto 
231;5;RADIADOR;ASDR456455;Repuesto 
232;5;ESCAPE;TYGD5679LL;Repuesto 
233;5;DISCO DE FRENOS;VGT5862DE;Repuesto 
234;5;HALOGENOS;ARTY0986450;Repuesto 
235;5;FILTRO DE AIRE;ADT157863;Repuesto 
236;5;TIJERETA;4587RADADD;Repuesto 
237;5;BUJIAS;85FDTG2345;Repuesto 
238;5;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
239;5;RETROVISOR;GDS0278DW;Repuesto 
240;5;AMORTIGUADORES;SDFCV44574;Repuesto 
241;5;BATERIAS DIENER;89JHTF654;Repuesto 
242;5;TURBINA;ASWD5478;Repuesto 
243;5;COMPRESOR;5367DRTS58;Repuesto 
244;5;RADIADOR;ASDR456455;Repuesto 
245;5;ESCAPE;TYGD5679LL;Repuesto 
246;5;DISCO DE FRENOS;VGT5862DE;Repuesto 
247;5;HALOGENOS;ARTY0986450;Repuesto 
248;5;FILTRO DE AIRE;ADT157863;Repuesto 
249;5;TIJERETA;4587RADADD;Repuesto 
250;5;BUJIAS;85FDTG2345;Repuesto 
251;5;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
252;5;RETROVISOR;GDS0278DW;Repuesto 
253;5;AMORTIGUADORES;SDFCV44574;Repuesto 
254;5;BATERIAS DIENER;89JHTF654;Repuesto 
255;5;TURBINA;ASWD5478;Repuesto 
256;5;COMPRESOR;5367DRTS58;Repuesto 
257;5;RADIADOR;ASDR456455;Repuesto 
258;5;ESCAPE;TYGD5679LL;Repuesto 
259;5;DISCO DE FRENOS;VGT5862DE;Repuesto 
260;5;HALOGENOS;ARTY0986450;Repuesto 
261;5;FILTRO DE AIRE;ADT157863;Repuesto 
262;5;TIJERETA;4587RADADD;Repuesto 
263;5;BUJIAS;85FDTG2345;Repuesto 
264;5;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
265;5;RETROVISOR;GDS0278DW;Repuesto 
266;5;AMORTIGUADORES;SDFCV44574;Repuesto 
267;5;BATERIAS DIENER;89JHTF654;Repuesto 
268;5;TURBINA;ASWD5478;Repuesto 
269;5;COMPRESOR;5367DRTS58;Repuesto 
270;5;RADIADOR;ASDR456455;Repuesto 
271;5;ESCAPE;TYGD5679LL;Repuesto 
272;5;DISCO DE FRENOS;VGT5862DE;Repuesto 
273;5;HALOGENOS;ARTY0986450;Repuesto 
274;5;FILTRO DE AIRE;ADT157863;Repuesto 
275;5;TIJERETA;4587RADADD;Repuesto 
276;5;BUJIAS;85FDTG2345;Repuesto 
277;5;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
278;5;RETROVISOR;GDS0278DW;Repuesto 
279;5;AMORTIGUADORES;SDFCV44574;Repuesto 
280;5;BATERIAS DIENER;89JHTF654;Repuesto 
281;5;TURBINA;ASWD5478;Repuesto 
282;5;COMPRESOR;5367DRTS58;Repuesto 
283;5;RADIADOR;ASDR456455;Repuesto 
284;5;ESCAPE;TYGD5679LL;Repuesto 
285;5;DISCO DE FRENOS;VGT5862DE;Repuesto 
286;5;HALOGENOS;ARTY0986450;Repuesto 
287;5;FILTRO DE AIRE;ADT157863;Repuesto 
288;5;TIJERETA;4587RADADD;Repuesto 
289;5;BUJIAS;85FDTG2345;Repuesto 
290;5;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
291;5;RETROVISOR;GDS0278DW;Repuesto 
292;5;AMORTIGUADORES;SDFCV44574;Repuesto 
293;5;BATERIAS DIENER;89JHTF654;Repuesto 
294;5;TURBINA;ASWD5478;Repuesto 
295;5;COMPRESOR;5367DRTS58;Repuesto 
296;5;RADIADOR;ASDR456455;Repuesto 
297;5;ESCAPE;TYGD5679LL;Repuesto 
298;5;DISCO DE FRENOS;VGT5862DE;Repuesto 
299;5;HALOGENOS;ARTY0986450;Repuesto 
300;6;FILTRO DE AIRE;ADT157863;Repuesto 
301;6;TIJERETA;4587RADADD;Repuesto 
302;6;BUJIAS;85FDTG2345;Repuesto 
303;6;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
304;6;RETROVISOR;GDS0278DW;Repuesto 
305;6;AMORTIGUADORES;SDFCV44574;Repuesto 
306;6;BATERIAS DIENER;89JHTF654;Repuesto 
307;6;TURBINA;ASWD5478;Repuesto 
308;6;COMPRESOR;5367DRTS58;Repuesto 
309;6;RADIADOR;ASDR456455;Repuesto 
310;6;ESCAPE;TYGD5679LL;Repuesto 
311;6;DISCO DE FRENOS;VGT5862DE;Repuesto 
312;6;HALOGENOS;ARTY0986450;Repuesto 
313;6;FILTRO DE AIRE;ADT157863;Repuesto 
314;6;TIJERETA;4587RADADD;Repuesto 
315;6;BUJIAS;85FDTG2345;Repuesto 
316;6;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
317;6;RETROVISOR;GDS0278DW;Repuesto 
318;6;AMORTIGUADORES;SDFCV44574;Repuesto 
319;6;BATERIAS DIENER;89JHTF654;Repuesto 
320;6;TURBINA;ASWD5478;Repuesto 
321;6;COMPRESOR;5367DRTS58;Repuesto 
322;6;RADIADOR;ASDR456455;Repuesto 
323;6;ESCAPE;TYGD5679LL;Repuesto 
324;6;DISCO DE FRENOS;VGT5862DE;Repuesto 
325;6;HALOGENOS;ARTY0986450;Repuesto 
326;6;FILTRO DE AIRE;ADT157863;Repuesto 
327;6;TIJERETA;4587RADADD;Repuesto 
328;6;BUJIAS;85FDTG2345;Repuesto 
329;6;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
330;6;RETROVISOR;GDS0278DW;Repuesto 
331;6;AMORTIGUADORES;SDFCV44574;Repuesto 
332;6;BATERIAS DIENER;89JHTF654;Repuesto 
333;6;TURBINA;ASWD5478;Repuesto 
334;6;COMPRESOR;5367DRTS58;Repuesto 
335;6;RADIADOR;ASDR456455;Repuesto 
336;6;ESCAPE;TYGD5679LL;Repuesto 
337;6;DISCO DE FRENOS;VGT5862DE;Repuesto 
338;6;HALOGENOS;ARTY0986450;Repuesto 
339;1;FILTRO DE AIRE;ADT157863;Repuesto 
340;1;TIJERETA;4587RADADD;Repuesto 
341;1;BUJIAS;85FDTG2345;Repuesto 
342;1;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
343;1;RETROVISOR;GDS0278DW;Repuesto 
344;1;AMORTIGUADORES;SDFCV44574;Repuesto 
345;1;BATERIAS DIENER;89JHTF654;Repuesto 
346;1;TURBINA;ASWD5478;Repuesto 
347;1;COMPRESOR;5367DRTS58;Repuesto 
348;1;RADIADOR;ASDR456455;Repuesto 
349;1;ESCAPE;TYGD5679LL;Repuesto 
350;1;DISCO DE FRENOS;VGT5862DE;Repuesto 
351;1;HALOGENOS;ARTY0986450;Repuesto 
352;1;FILTRO DE AIRE;ADT157863;Repuesto 
353;1;TIJERETA;4587RADADD;Repuesto 
354;1;BUJIAS;85FDTG2345;Repuesto 
355;1;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
356;1;RETROVISOR;GDS0278DW;Repuesto 
357;1;AMORTIGUADORES;SDFCV44574;Repuesto 
358;1;BATERIAS DIENER;89JHTF654;Repuesto 
359;1;TURBINA;ASWD5478;Repuesto 
360;1;COMPRESOR;5367DRTS58;Repuesto 
361;1;RADIADOR;ASDR456455;Repuesto 
362;1;ESCAPE;TYGD5679LL;Repuesto 
363;1;DISCO DE FRENOS;VGT5862DE;Repuesto 
364;1;HALOGENOS;ARTY0986450;Repuesto 
365;2;FILTRO DE AIRE;ADT157863;Repuesto 
366;2;TIJERETA;4587RADADD;Repuesto 
367;2;BUJIAS;85FDTG2345;Repuesto 
368;2;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
369;2;RETROVISOR;GDS0278DW;Repuesto 
370;2;AMORTIGUADORES;SDFCV44574;Repuesto 
371;2;BATERIAS DIENER;89JHTF654;Repuesto 
372;2;TURBINA;ASWD5478;Repuesto 
373;2;COMPRESOR;5367DRTS58;Repuesto 
374;2;RADIADOR;ASDR456455;Repuesto 
375;2;ESCAPE;TYGD5679LL;Repuesto 
376;2;DISCO DE FRENOS;VGT5862DE;Repuesto 
377;2;HALOGENOS;ARTY0986450;Repuesto 
378;2;FILTRO DE AIRE;ADT157863;Repuesto 
379;2;TIJERETA;4587RADADD;Repuesto 
380;2;BUJIAS;85FDTG2345;Repuesto 
381;2;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
382;2;RETROVISOR;GDS0278DW;Repuesto 
383;2;AMORTIGUADORES;SDFCV44574;Repuesto 
384;2;BATERIAS DIENER;89JHTF654;Repuesto 
385;2;TURBINA;ASWD5478;Repuesto 
386;2;COMPRESOR;5367DRTS58;Repuesto 
387;2;RADIADOR;ASDR456455;Repuesto 
388;2;ESCAPE;TYGD5679LL;Repuesto 
389;2;DISCO DE FRENOS;VGT5862DE;Repuesto 
390;2;HALOGENOS;ARTY0986450;Repuesto 
391;2;FILTRO DE AIRE;ADT157863;Repuesto 
392;2;TIJERETA;4587RADADD;Repuesto 
393;2;BUJIAS;85FDTG2345;Repuesto 
394;2;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
395;2;RETROVISOR;GDS0278DW;Repuesto 
396;2;AMORTIGUADORES;SDFCV44574;Repuesto 
397;2;BATERIAS DIENER;89JHTF654;Repuesto 
398;2;TURBINA;ASWD5478;Repuesto 
399;2;COMPRESOR;5367DRTS58;Repuesto 
400;2;RADIADOR;ASDR456455;Repuesto 
401;2;ESCAPE;TYGD5679LL;Repuesto 
402;2;DISCO DE FRENOS;VGT5862DE;Repuesto 
403;2;HALOGENOS;ARTY0986450;Repuesto 
404;3;FILTRO DE AIRE;ADT157863;Repuesto 
405;3;TIJERETA;4587RADADD;Repuesto 
406;3;BUJIAS;85FDTG2345;Repuesto 
407;3;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
408;3;RETROVISOR;GDS0278DW;Repuesto 
409;3;AMORTIGUADORES;SDFCV44574;Repuesto 
410;3;BATERIAS DIENER;89JHTF654;Repuesto 
411;3;TURBINA;ASWD5478;Repuesto 
412;3;COMPRESOR;5367DRTS58;Repuesto 
413;3;RADIADOR;ASDR456455;Repuesto 
414;3;ESCAPE;TYGD5679LL;Repuesto 
415;3;DISCO DE FRENOS;VGT5862DE;Repuesto 
416;3;HALOGENOS;ARTY0986450;Repuesto 
417;3;FILTRO DE AIRE;ADT157863;Repuesto 
418;3;TIJERETA;4587RADADD;Repuesto 
419;3;BUJIAS;85FDTG2345;Repuesto 
420;3;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
421;3;RETROVISOR;GDS0278DW;Repuesto 
422;3;AMORTIGUADORES;SDFCV44574;Repuesto 
423;3;BATERIAS DIENER;89JHTF654;Repuesto 
424;3;TURBINA;ASWD5478;Repuesto 
425;3;COMPRESOR;5367DRTS58;Repuesto 
426;3;RADIADOR;ASDR456455;Repuesto 
427;3;ESCAPE;TYGD5679LL;Repuesto 
428;3;DISCO DE FRENOS;VGT5862DE;Repuesto 
429;3;HALOGENOS;ARTY0986450;Repuesto 
430;3;FILTRO DE AIRE;ADT157863;Repuesto 
431;3;TIJERETA;4587RADADD;Repuesto 
432;3;BUJIAS;85FDTG2345;Repuesto 
433;3;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
434;3;RETROVISOR;GDS0278DW;Repuesto 
435;3;AMORTIGUADORES;SDFCV44574;Repuesto 
436;3;BATERIAS DIENER;89JHTF654;Repuesto 
437;3;TURBINA;ASWD5478;Repuesto 
438;3;COMPRESOR;5367DRTS58;Repuesto 
439;3;RADIADOR;ASDR456455;Repuesto 
440;3;ESCAPE;TYGD5679LL;Repuesto 
441;3;DISCO DE FRENOS;VGT5862DE;Repuesto 
442;3;HALOGENOS;ARTY0986450;Repuesto 
443;4;FILTRO DE AIRE;ADT157863;Repuesto 
444;4;TIJERETA;4587RADADD;Repuesto 
445;4;BUJIAS;85FDTG2345;Repuesto 
446;4;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
447;4;RETROVISOR;GDS0278DW;Repuesto 
448;4;AMORTIGUADORES;SDFCV44574;Repuesto 
449;4;BATERIAS DIENER;89JHTF654;Repuesto 
450;4;TURBINA;ASWD5478;Repuesto 
451;4;COMPRESOR;5367DRTS58;Repuesto 
452;4;RADIADOR;ASDR456455;Repuesto 
453;4;ESCAPE;TYGD5679LL;Repuesto 
454;4;DISCO DE FRENOS;VGT5862DE;Repuesto 
455;4;HALOGENOS;ARTY0986450;Repuesto 
456;4;FILTRO DE AIRE;ADT157863;Repuesto 
457;4;TIJERETA;4587RADADD;Repuesto 
458;4;BUJIAS;85FDTG2345;Repuesto 
459;4;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
460;4;RETROVISOR;GDS0278DW;Repuesto 
461;4;AMORTIGUADORES;SDFCV44574;Repuesto 
462;4;BATERIAS DIENER;89JHTF654;Repuesto 
463;4;TURBINA;ASWD5478;Repuesto 
464;4;COMPRESOR;5367DRTS58;Repuesto 
465;4;RADIADOR;ASDR456455;Repuesto 
466;4;ESCAPE;TYGD5679LL;Repuesto 
467;4;DISCO DE FRENOS;VGT5862DE;Repuesto 
468;4;HALOGENOS;ARTY0986450;Repuesto 
469;4;FILTRO DE AIRE;ADT157863;Repuesto 
470;4;TIJERETA;4587RADADD;Repuesto 
471;4;BUJIAS;85FDTG2345;Repuesto 
472;4;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
473;4;RETROVISOR;GDS0278DW;Repuesto 
474;4;AMORTIGUADORES;SDFCV44574;Repuesto 
475;4;BATERIAS DIENER;89JHTF654;Repuesto 
476;4;TURBINA;ASWD5478;Repuesto 
477;4;COMPRESOR;5367DRTS58;Repuesto 
478;4;RADIADOR;ASDR456455;Repuesto 
479;4;ESCAPE;TYGD5679LL;Repuesto 
480;4;DISCO DE FRENOS;VGT5862DE;Repuesto 
481;4;HALOGENOS;ARTY0986450;Repuesto 
482;5;FILTRO DE AIRE;ADT157863;Repuesto 
483;5;TIJERETA;4587RADADD;Repuesto 
484;5;BUJIAS;85FDTG2345;Repuesto 
485;5;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
486;5;RETROVISOR;GDS0278DW;Repuesto 
487;5;AMORTIGUADORES;SDFCV44574;Repuesto 
488;5;BATERIAS DIENER;89JHTF654;Repuesto 
489;5;TURBINA;ASWD5478;Repuesto 
490;5;COMPRESOR;5367DRTS58;Repuesto 
491;5;RADIADOR;ASDR456455;Repuesto 
492;5;ESCAPE;TYGD5679LL;Repuesto 
493;5;DISCO DE FRENOS;VGT5862DE;Repuesto 
494;5;HALOGENOS;ARTY0986450;Repuesto 
495;5;FILTRO DE AIRE;ADT157863;Repuesto 
496;5;TIJERETA;4587RADADD;Repuesto 
497;5;BUJIAS;85FDTG2345;Repuesto 
498;5;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
499;5;RETROVISOR;GDS0278DW;Repuesto 
500;5;AMORTIGUADORES;SDFCV44574;Repuesto 
501;5;BATERIAS DIENER;89JHTF654;Repuesto 
502;5;TURBINA;ASWD5478;Repuesto 
